CMD: gh search repos <q> --sort stars --limit 12 for q in: "EARS requirements", "spec workflow kiro", "claude-code PRD", "requirements-analyst", "product-manager claude", "brainstorm skill", "spec-driven-development", "claude code requirements"
AT_UTC: 2026-09-09T09:34:38Z
RC: 0
### query: EARS requirements
levilucio/EARS-CTRL | 6 | 2018-03-09T07:58:32Z | apache-2.0 | expressing and analysing controllers as EARS requirements
hololeo/kiro2pdf | 4 | 2025-07-19T18:40:37Z |  | Takes Kiro spec markdown files and makes printable pdfs
arfaWong/kiro-spec-workflow | 3 | 2025-07-24T07:16:18Z |  | 
robin-collins/mcp-server-kiro-spec-driven-development | 3 | 2025-07-30T06:41:34Z | mit | Kiro inspired Spec-Driven Development MCP Server, no just Vibe Coding
Brijesh03032001/Ghosty_A_Conference_helper | 3 | 2026-05-06T23:06:55Z | mit | 🏆 Winner — Kiro Spark Challenge 2026 | A voice-first mobile app that turns conference conversations into a tra
grg-lab/kiro-specs-dashboard | 2 | 2026-02-20T21:02:56Z | mit | A native VSCode extension for visualizing and tracking Kiro spec features and tasks directly within your IDE.
bishopdotdev/kiro.specs | 2 | 2025-07-22T19:44:13Z |  | A place for the Kiro Community to share their specs, requirements examples and best practices! 
### query: claude-code PRD
digitalsamba/ralph-builder | 12 | 2026-02-17T19:08:02Z |  | Structured wrapper for autonomous AI coding with Claude Code. PRD-driven task planning, atomic verification, a
kmajerowicz/get-shit-right | 5 | 2026-07-23T17:32:21Z | mit | A workflow system for Claude Code — PRD-first, human-in-the-loop, skills-enforced
hoadoan1997/pm-kit | 2 | 2026-03-06T17:54:23Z | mit | Product Management toolkit for Claude Code — PRDs, user stories, sprint planning, competitive analysis
anouar1991/ralph-engine | 1 | 2026-02-10T01:25:37Z | mit | Autonomous task executor for Claude Code — PRD-driven development with git as memory
dayvisonassis/sdd-skills | 1 | 2026-08-27T16:55:41Z | mit | Spec-driven development skills for Claude Code: PRD → spec/contract → implement → contract-based evaluation wi
coreline-ai/android-subagent-skill | 1 | 2026-05-03T23:53:24Z | mit | Claude Code용 Android 서브에이전트 워크플로: PRD → 가이드 → 구현 → 리뷰 | Android sub-agent workflow for Claude Code: PRD, guide
quitecommlt/product-manager-skill | 1 | 2026-06-23T22:01:44Z | mit | An on-demand senior Product Manager skill for Claude Code: PRDs, prioritization (RICE/MoSCoW), roadmaps, user 
brezzashen/claude-code-prd-skill | 0 | 2026-04-29T08:21:04Z | mit | Complete PRD-driven feature lifecycle for Claude Code as 5 slash commands: /prd /flow /build /archive /pipelin
geckse/claude-code-prd-workshop | 0 | 2026-02-28T10:27:41Z |  | 
seb-sto/claude-code-prd-pipeline | 0 | 2026-08-10T16:06:37Z | mit | 
notwinston/Claude_Code_PRD_Generator_Skill | 0 | 2026-01-20T00:12:24Z |  | 
young920/prd-embed-skill | 0 | 2026-05-21T02:36:12Z |  | Claude Code prd-embed skill
### query: requirements-analyst
rogasper/onesist | 27 | 2026-09-07T11:20:04Z | mit | Onesist platform to enhance productivity for System Analyst deliverable Technical Requirement
ultranet1/APACHE_AIRFLOW_DATA_PIPELINES | 21 | 2021-02-25T15:46:01Z |  | Project Description: A music streaming company wants to introduce more automation and monitoring to their data
Sankriti09/30-DAYS-SQL-QUESTION-SERIES | 20 | 2023-08-30T10:28:53Z |  | This repository is created to improve SQL skill. The very basic requirement/skill needed for Data Analyst is S
JamieChristian22/Business-Analyst-Portfolio2 | 19 | 2026-01-26T08:34:31Z | mit | Business Analyst portfolio with end-to-end case studies, requirements artifacts, process models, and analytics
devfolorunso/business-analyst-agent-skill | 16 | 2026-02-28T08:55:22Z | mit |  A production-ready Business Analyst agent skill that delivers senior BA outputs across requirements, process 
Joshua-omolewa/Retailstore_ETL_pipeline_project | 14 | 2023-05-25T01:12:30Z |  | Built a Data Pipeline for a Retail store using AWS services that collects data from its transactional database
arghanath007/Atliq-Mart-FMCG-Supply-Chain-Dashboard | 14 | 2024-04-17T10:04:21Z |  | This was a Challenge put up by a famous YouTuber Codebasics and he provided all the datasets. This time no moc
ajay04323/cpanel_CPSP | 10 | 2023-04-30T01:17:01Z |  | Which of the following options best describes the role of Shared Hosting on a web server?    Providing hosting
AryamanTewari/Simplilearn_Capstone_Project_MyMoviePlan | 9 | 2022-05-28T06:40:06Z |  | MyMoviePlan Project 4   DESCRIPTION  Create a dynamic and responsive web application for booking movie tickets
abhilashvijayannair/Analyzing-Historical-Stock-Revenue-Data-and-Building-a-Dashboard | 8 | 2022-07-18T07:58:20Z |  | For this project, you will assume the role of a Data Scientist / Data Analyst working for a new startup invest
ktczakutnyi/Software-I-C482 | 5 | 2024-05-24T08:20:32Z |  | WGU-Software-I-C482 COMPETENCIES 430.02.05 : Classes and Interfaces  The graduate designs software solutions w
liciamargarete/Machine-Vision-Systems-Market-to-2025---Global-Analysis-and-Forecasts-by-Type-Components-End-users | 5 | 2017-08-09T09:57:37Z |  | Machine Vision Systems to 2025 by Type (Smart Machine Vision Systems, PC-Based Machine Vision Systems and 3D M
### query: product-manager claude
nimbalyst/product-manager-claude-code-commands | 53 | 2025-12-31T16:34:07Z | mit | Supercharge your AI-assisted workflow with battle-tested Claude Code commands for Product Managers.
simonevignati/pm-research-squad | 2 | 2026-04-15T08:43:32Z |  | 10-agent research pipeline for product managers. Claude Code plugin + gitagent-compatible.
xgpeter/smart-home-pm | 2 | 2026-05-12T02:58:08Z | mit | Smart Home Product Manager - Claude Code Skill. 30 scenes, 50+ chips, 178 vendors, 40+ standards, 16-chapter P
abhitsian/compound-pm-marketplace | 2 | 2026-02-18T10:57:49Z |  | Compound PM — Your second brain as a Product Manager. Claude Code plugin with 9 agents, 15 commands, 6 skills 
rgail7117/Product-Manager-Claude | 0 | 2026-03-27T10:51:47Z |  | Contains skills for a product manager creating proof of concepts
zigatty/AI-Product-Manager---Claude | 0 | 2026-05-30T10:50:45Z |  | 
adtechnacity/atn-claudecode-course-pm | 0 | 2026-01-06T21:03:01Z |  | Product managers Claude Code course
apih9000/claude-agents | 0 | 2026-01-20T14:28:25Z | mit | Product Manager Claude Code Agents - 10 specialized agents for feature planning, task writing, MVP building, a
Ankushpanday1/Claude-Skill-for-Competitive-Analysis | 0 | 2026-05-23T18:32:04Z | mit | AI-powered competitive intelligence toolkit for Product Managers - Claude Custom Skill + React UI for deep, mu
gmarmat/claude-pm-kit | 0 | 2026-06-26T16:55:42Z | mit | PM Twin — your digital peer product manager. Claude Code skills for the full product lifecycle: discovery, val
### query: brainstorm skill
madarco/chatdomain-researcher | 9 | 2026-05-28T07:35:11Z | mit | A domain names brainstorm skill for Claude Code with <10ms free availability API, also Codex, Open Code, PI, C
qwwiwi/senior-brainstorm-skill | 6 | 2026-07-05T02:49:35Z | mit | Claude Code skill: senior full-stack architect for SaaS, marketplaces, internal platforms, content/SEO, mobile
HaominHU/claude-code-skills-archive | 5 | 2026-05-18T07:08:20Z | mit | A dedicated repo to store brainstorming skills that facilitate daily work and research
chronowrj/wrj_warehouse | 4 | 2026-07-15T08:59:39Z | mit | evolution brainstorm skills
00vchannel/gameplay-brainstorm-00vchannel | 4 | 2026-08-27T23:18:31Z | mit | A focused gameplay brainstorming skill for exploring ideas, comparing directions, and planning small tests. It
GappyHamer/Think-like-someone | 3 | 2026-08-23T04:28:32Z |  | awesome brainstorming skill
qwwiwi/brainstorming-skill | 2 | 2026-04-20T15:01:38Z | other | Claude Code skill: turn ideas into designs through collaborative dialogue before any creative work
cyenxchen/brainstorm-skills | 2 | 2026-09-06T07:35:30Z | mit | Claude Code and Codex skills — including brainstorm (standalone brainstorming → spec, extracted from obra/supe
msatala/milanspec | 2 | 2026-03-10T13:59:52Z |  | openspec combined with brainstorming skill to collaborate on high-level decisions
xenodeve/xeno-skills | 2 | 2026-09-07T00:37:29Z | mit | Multi-agent manual-consensus brainstorm skill for PAL clink (Claude Code / compatible agent runtimes)
chriscarrollsmith/brainstorm-skill | 1 | 2026-02-20T19:19:05Z |  | Personal fork of the "Superpowers" project's brainstorming skill
wssilence/brainstorm-skill | 1 | 2026-04-10T06:46:50Z |  | 🧠 Brainstorm Skill - 自动化脑暴系统，多Agent协作生成创意，支持定时/手动/事件触发
### query: spec-driven-development
github/spec-kit | 134323 | 2026-09-09T02:46:13Z | mit | 💫 Toolkit to help you get started with Spec-Driven Development
Fission-AI/OpenSpec | 67723 | 2026-09-07T17:54:52Z | mit | Spec-driven development (SDD) for AI coding assistants.
gsd-build/get-shit-done | 64572 | 2026-05-31T17:46:54Z | mit | A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude 
zeromicro/go-zero | 33315 | 2026-09-08T19:52:43Z | mit | A cloud-native Go microservices framework with cli tool for productivity.
open-gsd/gsd-core | 9275 | 2026-09-09T06:09:31Z | mit | Git. Ship. Done - Core
gsd-build/gsd-2 | 7772 | 2026-05-22T23:08:59Z | mit | A powerful meta-prompting, context engineering and spec-driven development system that enables agents to work 
Gentleman-Programming/gentle-ai | 6471 | 2026-09-09T00:25:40Z | mit | Gentle-AI configures the AI coding agents you already use: Claude Code, Cursor, OpenCode, Codex, Pi, and more.
buildermethods/agent-os | 5386 | 2026-08-29T15:11:00Z | mit | Agent OS is a system for injecting your codebase standards and writing better specs for spec-driven developmen
Pimzino/spec-workflow-mcp | 4288 | 2026-07-03T19:19:12Z | gpl-3.0 | A Model Context Protocol (MCP) server that provides structured spec-driven development workflow tools for AI-a
Pimzino/claude-code-spec-workflow | 3856 | 2025-09-07T14:14:52Z | mit | Automated workflows for Claude Code. Features spec-driven development for new features (Requirements → Design 
gemini-cli-extensions/conductor | 3733 | 2026-09-01T22:58:24Z | apache-2.0 | A plugin for AI coding agents (Antigravity, Claude Code) enabling Spec-Driven Development to specify, plan, an
gotalab/cc-sdd | 3659 | 2026-05-20T08:45:14Z | mit | Turn approved specs into long-running autonomous implementation. A minimal, adaptable SDD harness with Agent S
### query: claude code requirements
rizethereum/claude-code-requirements-builder | 1760 | 2025-06-28T13:23:42Z | mit | 
MOONL0323/forge | 3 | 2026-04-07T17:34:13Z | mit | AI-driven development workflow framework for Claude Code — requirement classification, adversarial review, aut
saxal28/amp-code-requirements-builder | 1 | 2025-07-10T19:53:50Z |  | based off https://github.com/rizethereum/claude-code-requirements-builder
saxal28/firebender-requirements-builder | 1 | 2025-07-10T19:44:33Z |  | based off https://github.com/rizethereum/claude-code-requirements-builder
cloudyview/claude-code-requirements-skill | 1 | 2026-08-18T16:52:35Z | mit | Claude Code skill for interactive requirements gathering — collect needs segment by segment, organize into str
thejohnfernandes/claude-code-skills | 1 | 2026-05-04T20:48:47Z | mit | Structured agent skills for Claude Code — requirements clarification, dev pipelines, and more
JettyMarquis/AskSancho | 0 | 2026-05-23T20:37:51Z | mit | Clarify your Claude Code requirements before they become regrets.
aligomaa05-code/claude-code-requirements-builder | 0 | 2026-02-05T09:28:45Z | mit | 
ganjasan/drydock | 0 | 2026-04-29T10:32:28Z | mit | A disciplined, AI-first development loop for Claude Code: requirements → build → ship.
kaionn/draftsmith | 0 | 2026-09-06T01:03:01Z | mit | Design-first inner loop for Claude Code: requirements -> design -> audit -> implementation -> light review
ajaycaldevops/claude-sdlc-pipeline | 0 | 2026-04-27T04:08:26Z |  | 4-stage SDLC pipeline powered by Claude Code — requirements, build, test, and deploy via slash commands
alon-deway/gap-loop-starter | 0 | 2026-07-20T13:49:36Z |  | Workshop starter: build a multi-agent gap-analysis loop in Claude Code (requirements x analytics x feedback)
### query: superpowers claude
hgahlot/claude-flow | 53 | 2026-03-29T23:00:39Z | mit | One-command bootstrap for a maximally efficient Claude Code dev environment. Installs GSD + gstack + Superpowe
ajsai47/holyclaude | 11 | 2026-03-31T18:11:42Z | mit | The Ultimate AI Coding Agent — Memory + Workflow + Virtual Team + Browser + Autonomous Research. Combines Clau
interwebologist/NerdVIM | 4 | 2026-05-04T09:30:48Z |  | 🧠 Modern Neovim setup with AI superpowers: Claude Chat Agent integration, Local Fill-in-the-middle LLM Qwen-Co
solo-super/marketplace | 2 | 2026-07-18T15:42:14Z | mit | Solopreneur Superpowers — Claude Code plugin marketplace
strong1133/under-claw-jarvis-plan | 2 | 2026-07-21T04:42:22Z | mit | jarvis-plan — staged sub-skill multi-agent orchestrator (Karpathy/Understand-Anything/Superpowers), Claude+Cod
fnusatvik07/superpowers-claude | 2 | 2026-04-18T05:29:10Z |  | 
mattmarcin/dapperpowers | 1 | 2026-07-07T17:29:35Z | mit | Trimmed down superpowers claude code plugin focused on token efficiency 
icaglar/claude-powerstack | 1 | 2026-09-07T14:54:39Z |  | Ruflo + Superpowers — Claude Code için tam geliştirme iş akışı başlangıç kiti
elhaddajiOtmane/Agentic-Cybersecurity-Toolkit | 1 | 2026-06-10T06:56:04Z |  | A repository combining skills and methodologies from superpowers, claude-code-security-review, Anthropic-Cyber
0x-chad/superpowers | 0 | 2026-03-16T15:34:37Z | mit | Fork of superpowers Claude Code plugin with custom modifications
olivierph8/claude-setup | 0 | 2026-07-05T06:42:38Z | mit | 一鍵安裝 Claude Code 環境：Superpowers、claude-mem、context-infrastructure、gstack
pjs7678/my-claude-dotfiles | 0 | 2026-02-24T23:47:01Z |  | My Claude Code configuration - eBPF + Kubernetes focused setup with superpowers, claude-hud, and context7
